name;link
Xadrez Verbal Podcast #134 – Europa, Oriente Médio e Peru ;https://xadrezverbal.com/2018/03/23/xadrez-verbal-podcast-134-europa-oriente-medio-e-peru/
Xadrez Verbal Podcast #133 – EUA, América Latina e relações Rússia-Europa ;https://xadrezverbal.com/2018/03/16/xadrez-verbal-podcast-133-eua-america-latina-e-relacoes-russia-europa/
Xadrez Verbal Podcast #132 – EUA, Itália e Coreia ;https://xadrezverbal.com/2018/03/09/xadrez-verbal-podcast-132-eua-italia-e-coreia/
Xadrez Verbal Podcast #131 – EUA, Europa e América Latina ;https://xadrezverbal.com/2018/03/02/xadrez-verbal-podcast-131-eua-europa-e-america-latina/
Xadrez Verbal Podcast #130 – América Latina, Síria e Europa ;https://xadrezverbal.com/2018/02/23/xadrez-verbal-podcast-130-america-latina-siria-e-europa/
Xadrez Verbal Podcast #129 – Oriente Médio, África e EUA ;https://xadrezverbal.com/2018/02/16/xadrez-verbal-podcast-129-oriente-medio-africa-e-eua/
Xadrez Verbal Podcast #128 – América Latina, África do Sul e Coreia ;https://xadrezverbal.com/2018/02/09/xadrez-verbal-podcast-128-america-latina-africa-do-sul-e-coreia/
Xadrez Verbal Podcast #127 – EUA, Polônia e América Latina ;https://xadrezverbal.com/2018/02/02/xadrez-verbal-podcast-127-eua-polonia-e-america-latina/
Xadrez Verbal Podcast #126 – Rio Nilo, Oriente Médio e América Latina ;https://xadrezverbal.com/2018/01/26/xadrez-verbal-podcast-126-rio-nilo-oriente-medio-e-america-latina/
Xadrez Verbal Podcast #125 – Início de 2018 ;https://xadrezverbal.com/2018/01/19/xadrez-verbal-podcast-125-inicio-de-2018/
Xadrez Verbal Podcast #124 – Monique Goldfeld, alt-right e América Latina ;https://xadrezverbal.com/2017/12/22/xadrez-verbal-podcast-124-monique-goldfeld-alt-right-e-america-latina/
Xadrez Verbal Podcast #123 – Jerusalém, neutralidade na rede e TPI ;https://xadrezverbal.com/2017/12/15/xadrez-verbal-podcast-123-jerusalem-neutralidade-na-rede-e-tpi/
Xadrez Verbal Podcast #322 – América Latina, Europa e Oriente Médio ;https://xadrezverbal.com/2023/01/28/xadrez-verbal-podcast-322-america-latina-europa-e-oriente-medio/
Xadrez Verbal Podcast #321 – África, Europa e Pacífico ;https://xadrezverbal.com/2023/01/21/xadrez-verbal-podcast-321-africa-europa-e-pacifico/
Xadrez Verbal Podcast #320 – Início de 2023 ;https://xadrezverbal.com/2023/01/14/xadrez-verbal-podcast-320-inicio-de-2023/
Xadrez Verbal Podcast #319 – Golpe no Peru, Europa e Copa ;https://xadrezverbal.com/2022/12/10/xadrez-verbal-podcast-319-golpe-no-peru-europa-e-copa/
Xadrez Verbal Podcast #318 – Protestos na China, Europa e Copa ;https://xadrezverbal.com/2022/12/03/xadrez-verbal-podcast-318-protestos-na-china-europa-e-copa/
